Date,Open,High,Low,Close,Volume
2025-02-26,2424.6076797853743,2432.9768839592525,2409.346189821243,2426.576904296875,6786800
2025-02-27,2436.9153467994565,2442.3307142367885,2426.084611924792,2428.546142578125,6384800
2025-02-28,2427.069212021416,2429.530742662412,2396.053925944875,2409.34619140625,11395600
2025-03-03,2422.1461765906674,2442.8230341957096,2411.807747788146,2430.515380859375,6705800
2025-03-04,2412.300076286484,2442.8230568435783,2400.977035112078,2416.238525390625,8405800
2025-03-05,2402.4538287140817,2421.161460986855,2390.638482015488,2415.74609375,7620000
2025-03-06,2414.7614607609576,2437.8998478467406,2412.792236328125,2412.792236328125,7261200
2025-03-07,2393.592222915367,2403.4383447702226,2367.5,2367.5,9483200
2025-03-10,2368.9769391306463,2380.792285460475,2356.176980606665,2370.453857421875,6431000
2025-03-11,2372.423186710223,2379.807778492886,2349.2847991245453,2367.992431640625,7551000
2025-03-12,2348.300118145714,2360.60777075654,2328.6078739683912,2358.146240234375,8719600
2025-03-13,2342.392382689713,2364.0538507095425,2334.515485227957,2349.28466796875,8768600
2025-03-14,2320.731081003289,2358.1463466282894,2312.361876850329,2338.4541015625,11521600
2025-03-17,2368.4845912853134,2376.853794788088,2351.253878191365,2364.546142578125,6534600
2025-03-18,2387.6847096059155,2404.915424005133,2379.807811594844,2390.146240234375,6791800
2025-03-19,2396.546206041602,2413.776920341408,2383.253940724609,2388.177001953125,5953400
2025-03-21,2394.5768904320985,2401.961481993875,2386.699992766204,2392.607666015625,12615600
2025-03-24,2392.60781579796,2395.069346472649,2360.6079170269995,2361.592529296875,6025400
2025-03-25,2367.500202916129,2369.4694274558806,2350.7617943282426,2361.592529296875,7202600
2025-03-26,2391.130888641547,2400.484705171131,2368.484806517291,2377.838623046875,7690200
2025-03-27,2374.392388182191,2399.5,2368.9770209273697,2399.5,9430600
2025-03-28,2438.5,2442.5,2387.0,2442.5,7566500
2025-03-31,2350.0,2379.0,2334.0,2359.5,11895000
2025-04-01,2404.5,2414.5,2341.0,2351.5,7494800
2025-04-02,2340.0,2348.0,2308.0,2327.0,6608400
2025-04-03,2231.5,2287.5,2227.0,2275.5,12163300
2025-04-04,2277.5,2415.5,2272.5,2382.5,17767400
2025-04-07,2282.5,2365.0,2250.0,2314.0,16602200
2025-04-08,2364.0,2388.5,2312.0,2373.0,12867000
2025-04-09,2365.0,2421.0,2354.0,2378.0,11909000
2025-04-10,2487.0,2518.0,2413.0,2518.0,16468100
2025-04-11,2407.5,2490.0,2405.5,2473.0,14689200
2025-04-14,2532.0,2534.0,2488.5,2494.5,7596200
2025-04-15,2541.0,2555.0,2511.0,2515.0,6586100
2025-04-16,2520.5,2547.0,2501.0,2543.0,6596000
2025-04-17,2540.0,2551.5,2527.5,2528.5,6093600
2025-04-18,2550.0,2567.0,2540.0,2555.0,5894300
2025-04-21,2545.0,2553.0,2528.5,2535.0,5500500
2025-04-22,2546.0,2579.5,2538.0,2570.5,6388800
2025-04-23,2600.0,2603.0,2562.5,2580.0,8901500
2025-04-24,2551.0,2563.0,2488.5,2497.0,8821000
2025-04-25,2513.5,2531.0,2484.5,2520.0,8852400
2025-04-28,2520.0,2534.5,2514.5,2534.5,5669300
2025-04-30,2550.0,2560.0,2523.5,2523.5,9394900
2025-05-01,2564.0,2564.0,2518.5,2535.0,5301600
2025-05-02,2551.5,2583.0,2541.5,2575.0,7763600
2025-05-07,2639.0,2658.0,2617.0,2635.0,11915800
2025-05-08,2634.0,2649.0,2615.0,2640.0,6429100
2025-05-09,2672.0,2682.5,2631.5,2663.5,10861700
2025-05-12,2679.0,2679.0,2641.5,2659.0,4745700
2025-05-13,2626.5,2640.0,2591.5,2591.5,9258600
2025-05-14,2592.0,2609.5,2560.0,2580.0,7149100
2025-05-15,2571.0,2583.0,2510.5,2562.5,11408600
2025-05-16,2590.0,2609.0,2565.5,2595.0,6869000
